,Closest City,Country code,Lat,Lng,Temperature,Wind speed,Humidity,Cloudiness,Date
94,half moon bay,US,37.46,-122.43,53.6,10.29,87.0,75.0,1520588100
98,butaritari,KI,3.07,172.79,82.39,11.77,100.0,8.0,1520589173
99,muroto,JP,33.37,134.14,44.6,23.04,42.0,20.0,1520586000
100,morros,BR,-2.87,-44.04,78.8,10.29,88.0,75.0,1520586000
101,vila franca do campo,PT,37.72,-25.43,57.2,23.04,71.0,40.0,1520587800
104,hasaki,JP,35.73,140.83,48.2,16.11,93.0,75.0,1520586000
105,dunedin,NZ,-45.87,170.5,43.19,3.94,92.0,0.0,1520589166
106,saldanha,ZA,41.42,-6.55,49.58,18.7,98.0,92.0,1520589081
108,longyearbyen,SJ,78.22,15.63,1.4,17.22,59.0,20.0,1520587200
109,nelson bay,AU,-32.72,152.14,71.6,9.17,64.0,90.0,1520586000
111,ribeira grande,PT,38.52,-28.7,53.6,28.86,54.0,40.0,1520587800
112,mwanza,MW,-2.52,32.9,76.76,7.18,83.0,44.0,1520586000
113,talnakh,RU,69.49,88.39,9.49,12.21,82.0,76.0,1520589048
114,longyan,CN,25.1,117.03,57.55,2.26,39.0,0.0,1520589177
115,bargi,IN,22.99,79.88,89.6,2.24,25.0,0.0,1520586000
116,ancud,CL,-41.87,-73.83,49.99,2.59,92.0,92.0,1520589091
117,ahipara,NZ,-35.17,173.16,67.81,6.96,92.0,80.0,1520589167
118,cape town,ZA,-33.93,18.42,69.8,5.82,49.0,20.0,1520586000
119,xinan,CN,22.55,113.89,68.0,8.95,30.0,0.0,1520586000
120,guerrero negro,MX,27.97,-114.04,57.37,7.96,98.0,80.0,1520589145
122,cherskiy,RU,68.75,161.3,-19.14,4.94,56.0,64.0,1520589048
123,tuktoyaktuk,CA,69.44,-133.03,5.0,14.99,59.0,0.0,1520586000
126,myitkyina,MM,25.38,97.4,87.34,3.15,24.0,0.0,1520589183
128,nouadhibou,MR,20.93,-17.03,66.2,11.41,72.0,0.0,1520586000
129,qandala,SO,11.47,49.87,82.3,4.38,48.0,0.0,1520589185
131,clyde river,CA,70.47,-68.59,-20.21,14.99,75.0,90.0,1520587020
132,ketchikan,US,55.34,-131.65,37.4,6.93,93.0,75.0,1520587740
137,san policarpo,PH,12.18,125.51,81.04,9.75,89.0,80.0,1520589133
139,alofi,NU,-19.06,-169.92,77.0,5.82,94.0,76.0,1520586000
141,valdivia,CL,-39.81,-73.25,57.2,2.24,100.0,90.0,1520586000
142,dombarovskiy,RU,50.76,59.54,20.83,4.61,95.0,92.0,1520589049
146,gazanjyk,TM,39.24,55.52,73.16,6.73,68.0,0.0,1520589187
147,aleksandrov gay,RU,50.14,48.57,26.63,17.02,96.0,88.0,1520589049
148,kaeo,NZ,-35.1,173.78,63.58,4.72,92.0,8.0,1520589167
149,abha,SA,18.22,42.5,78.8,2.93,11.0,0.0,1520586000
150,bluff,NZ,-23.58,149.07,81.76,11.99,42.0,68.0,1520589168
155,georgetown,SH,6.8,-58.16,78.38,7.18,76.0,92.0,1520589142
156,mareeba,AU,-16.99,145.42,75.2,12.75,94.0,75.0,1520587800
158,berdigestyakh,RU,62.1,126.7,-11.71,4.83,38.0,0.0,1520589050
160,kruisfontein,ZA,-34.0,24.73,63.08,4.61,82.0,80.0,1520589081
164,castro,CL,-42.48,-73.76,49.04,3.27,98.0,92.0,1520589092
166,labuhan,ID,-2.54,115.51,81.08,3.38,85.0,32.0,1520589154
167,pachino,IT,36.72,15.09,55.4,2.24,82.0,20.0,1520585400
168,iqaluit,CA,63.75,-68.52,8.6,10.29,84.0,90.0,1520586000
170,lashio,MM,22.93,97.75,85.09,2.93,27.0,0.0,1520589183
173,hilo,US,19.71,-155.08,68.0,5.82,82.0,90.0,1520588520
174,barrow,US,-38.31,-60.23,63.08,10.2,48.0,0.0,1520589097
175,morehead,PG,38.18,-83.43,26.6,4.7,53.0,90.0,1520585580
181,antsohihy,MG,-14.88,47.99,78.88,7.07,100.0,92.0,1520589031
183,coos bay,US,43.37,-124.22,46.4,4.38,100.0,90.0,1520587200
187,riyadh,SA,24.63,46.72,90.89,6.62,19.0,0.0,1520589089
189,margate,ZA,-43.03,147.26,62.6,9.17,77.0,75.0,1520587800
191,hermanus,ZA,-34.42,19.24,65.65,2.93,59.0,56.0,1520589082
193,zhezkazgan,KZ,47.8,67.71,32.0,8.95,95.0,90.0,1520586000
196,nikolskoye,RU,59.7,30.79,28.4,11.18,74.0,75.0,1520586000
197,atar,MR,20.52,-13.05,77.0,10.29,33.0,0.0,1520586000
198,berlin,US,52.52,13.39,44.6,19.46,65.0,75.0,1520587200
200,bud,NO,62.91,6.91,35.6,4.7,100.0,90.0,1520587200
201,christchurch,NZ,-43.53,172.64,53.6,4.7,76.0,92.0,1520586000
202,thompson,CA,55.74,-97.86,-7.61,1.36,76.0,5.0,1520586000
204,cabedelo,BR,-6.97,-34.84,75.2,8.75,94.0,75.0,1520586000
206,albany,AU,42.65,-73.75,28.4,9.17,58.0,90.0,1520587080
207,arraial do cabo,BR,-22.97,-42.02,75.2,10.31,94.0,75.0,1520586000
208,rawson,AR,-43.3,-65.11,66.1,9.64,45.0,8.0,1520588887
209,kapaa,US,22.08,-159.32,68.0,21.92,68.0,75.0,1520585760
210,katsuura,JP,33.93,134.5,37.4,10.29,59.0,40.0,1520586000
214,codrington,AG,-28.95,153.24,65.92,6.96,93.0,92.0,1520589197
216,burgersdorp,ZA,-30.99,26.32,57.23,4.16,69.0,0.0,1520589082
217,vostok,RU,46.45,135.83,8.32,5.73,49.0,0.0,1520589050
219,pangnirtung,CA,66.15,-65.72,-0.19,5.61,65.0,56.0,1520589119
220,nome,US,30.04,-94.42,46.4,3.36,81.0,1.0,1520586900
221,ariquemes,BR,-9.91,-63.03,75.41,2.15,94.0,92.0,1520589021
222,milford,US,40.77,-97.05,30.2,10.29,58.0,90.0,1520588100
224,urusha,RU,54.05,122.9,7.87,2.59,43.0,0.0,1520589051
226,brae,GB,60.4,-1.35,41.0,12.75,93.0,40.0,1520587200
234,yefremov,RU,53.14,38.12,18.22,9.98,98.0,76.0,1520589051
235,araouane,ML,18.9,-3.53,79.42,5.5,20.0,0.0,1520589200
236,sayula,MX,19.88,-103.6,46.84,1.14,87.0,0.0,1520589146
237,meulaboh,ID,4.14,96.13,80.36,6.85,100.0,44.0,1520589154
240,vrangel,RU,42.73,133.08,26.09,18.81,100.0,0.0,1520589052
241,cacoal,BR,-11.43,-61.44,74.24,2.04,94.0,92.0,1520589021
242,savalou,BJ,7.93,1.98,84.86,11.21,73.0,12.0,1520589200
243,imuris,MX,30.78,-110.86,49.04,0.81,52.0,36.0,1520589146
246,bondo,CD,3.81,23.69,88.87,2.93,59.0,0.0,1520589201
249,storforshei,NO,66.4,14.52,26.6,9.17,49.0,0.0,1520585400
251,manakara,MG,-22.14,48.01,83.74,7.18,95.0,0.0,1520589031
253,port lincoln,AU,-34.72,135.86,80.54,10.42,51.0,0.0,1520589035
254,mporokoso,ZM,-9.37,30.12,75.41,9.19,94.0,12.0,1520589202
256,marzuq,LY,14.4,46.47,82.03,7.4,11.0,0.0,1520589129
260,salalah,OM,17.01,54.1,84.2,13.87,48.0,0.0,1520585400
261,pestovo,RU,55.36,37.98,23.0,11.18,57.0,0.0,1520586000
262,ramhormoz,IR,31.28,49.6,75.86,3.27,64.0,0.0,1520589204
263,saint-pierre,PM,48.95,4.24,48.2,5.82,81.0,90.0,1520587800
266,caravelas,BR,-17.73,-39.27,81.31,19.15,100.0,88.0,1520589021
267,avarua,CK,-21.21,-159.78,77.0,4.7,94.0,75.0,1520586000
268,noshiro,JP,40.21,140.05,35.6,14.99,100.0,75.0,1520586000
269,anito,PH,12.45,125.29,82.61,12.21,95.0,88.0,1520589133
272,weihe,CN,32.99,105.33,57.19,3.83,44.0,0.0,1520589178
273,abrau-dyurso,RU,44.7,37.6,35.6,11.18,93.0,90.0,1520586000
274,orlandia,BR,-20.72,-47.89,69.8,5.82,94.0,0.0,1520586000
277,carnarvon,AU,-30.97,22.13,65.38,6.73,39.0,24.0,1520589036
278,zhigansk,RU,66.77,123.37,-15.0,7.96,45.0,24.0,1520589053
280,dikson,RU,73.51,80.55,-9.96,16.46,88.0,8.0,1520589053
281,sorland,NO,67.67,12.69,28.4,3.36,67.0,0.0,1520587200
282,waddan,LY,29.16,16.14,73.93,13.67,31.0,0.0,1520589129
289,ranong,TH,9.96,98.62,86.71,9.08,90.0,20.0,1520589207
296,teya,RU,21.05,-89.07,69.8,6.93,73.0,75.0,1520585280
298,takaka,NZ,-40.86,172.81,61.6,8.97,92.0,36.0,1520589168
301,nador,MA,35.17,-2.93,66.2,1.12,72.0,0.0,1520587800
302,umtata,ZA,-31.59,28.78,68.0,8.05,49.0,20.0,1520586000
303,kashan,IR,33.99,51.44,80.81,15.79,17.0,12.0,1520589204
304,conde,BR,-11.81,-37.61,78.61,9.64,97.0,56.0,1520589022
306,yar-sale,RU,66.83,70.83,-0.24,3.04,99.0,44.0,1520589054
309,hastings,NZ,-39.64,176.84,60.79,21.27,100.0,88.0,1520589169
318,quatre cocos,MU,-20.21,57.76,84.2,11.41,66.0,75.0,1520586000
323,alexandria,EG,31.31,-92.44,42.8,4.7,75.0,1.0,1520588100
327,henties bay,NA,-22.12,14.28,66.82,3.71,94.0,0.0,1520589210
330,chicama,PE,-7.84,-79.15,64.4,3.36,93.0,75.0,1520586000
333,sur,OM,22.57,59.53,80.77,2.93,77.0,0.0,1520589204
338,sobolevo,RU,54.43,31.9,24.34,10.2,93.0,88.0,1520589055
339,san cristobal,EC,-0.39,-78.55,51.8,10.29,93.0,75.0,1520586000
344,geraldton,AU,49.72,-86.95,8.6,3.36,84.0,90.0,1520586000
347,airai,PW,-8.93,125.41,75.64,1.59,81.0,92.0,1520589211
348,sebeta,ET,8.91,38.62,71.6,5.82,30.0,24.0,1520586000
350,vila velha,BR,-3.71,-38.6,78.8,2.24,94.0,20.0,1520586000
354,nhulunbuy,AU,-12.18,136.78,86.0,12.75,70.0,32.0,1520586000
357,inhambane,MZ,-23.87,35.38,75.2,5.82,94.0,75.0,1520586000
360,madang,PG,-5.21,145.81,75.86,2.15,100.0,92.0,1520589189
362,sharkan,RU,57.3,53.87,12.86,9.53,89.0,36.0,1520589055
364,arandis,NA,-22.42,14.98,71.32,4.61,90.0,0.0,1520589210
368,hailey,US,43.52,-114.32,32.0,4.7,85.0,40.0,1520588100
369,irbeyskoye,RU,55.64,95.45,10.57,2.59,78.0,0.0,1520589056
371,kudahuvadhoo,MV,2.67,72.89,83.65,14.0,100.0,12.0,1520589109
372,tuatapere,NZ,-46.13,167.69,52.01,13.22,100.0,0.0,1520589169
373,sulangan,PH,11.14,123.72,79.51,11.77,100.0,92.0,1520589134
374,kalmunai,LK,7.42,81.82,82.79,6.06,88.0,48.0,1520589213
377,leningradskiy,RU,69.38,178.42,-2.67,26.42,74.0,36.0,1520589056
378,russell,NZ,-33.01,-68.8,64.4,3.36,63.0,0.0,1520586000
381,kavieng,PG,-2.57,150.8,80.54,5.73,100.0,68.0,1520589189
382,ruteng,ID,-8.61,120.46,79.01,3.94,82.0,88.0,1520589154
383,eydhafushi,MV,5.1,73.07,84.01,11.43,100.0,0.0,1520589110
385,deputatskiy,RU,69.3,139.9,-30.3,2.59,48.0,8.0,1520589057
387,upernavik,GL,72.79,-56.15,-13.06,4.72,100.0,24.0,1520589126
388,karpathos,GR,35.51,27.21,64.4,12.75,55.0,20.0,1520587200
390,winnemucca,US,40.97,-117.74,39.2,4.7,51.0,1.0,1520585760
391,soyo,AO,-6.13,12.37,85.54,3.83,72.0,20.0,1520589214
392,tymovskoye,RU,50.85,142.66,21.28,10.31,80.0,92.0,1520589057
393,torbay,CA,47.66,-52.73,28.4,10.29,100.0,90.0,1520586000
394,plettenberg bay,ZA,-34.05,23.37,66.41,3.71,100.0,48.0,1520589083
401,boguchany,RU,58.38,97.46,12.86,5.5,53.0,48.0,1520589058
410,narsaq,GL,60.91,-46.05,8.6,3.36,60.0,0.0,1520585400
414,muzhi,RU,65.4,64.7,-3.12,7.18,75.0,0.0,1520589058
426,san blas,MX,21.54,-105.29,55.03,3.27,73.0,0.0,1520589147
427,leiyang,CN,26.42,112.85,57.37,4.61,81.0,0.0,1520589178
429,sibolga,ID,1.74,98.78,76.0,1.7,90.0,64.0,1520589155
430,loiza,US,18.43,-65.88,75.2,9.86,88.0,1.0,1520585760
431,xining,CN,36.62,101.77,48.14,4.83,19.0,64.0,1520589179
435,roebourne,AU,-20.77,117.15,104.21,4.16,9.0,0.0,1520589037
440,knysna,ZA,-34.04,23.05,66.2,4.7,59.0,40.0,1520586000
442,vardo,NO,39.62,-77.74,32.0,17.22,58.0,1.0,1520588100
443,nishihara,JP,35.74,139.53,53.6,13.87,61.0,90.0,1520586360
445,buala,SB,-8.15,159.59,80.05,4.94,100.0,92.0,1520589136
446,burnie,AU,-41.05,145.91,66.01,8.86,98.0,0.0,1520589037
447,nioki,CD,-2.72,17.69,77.08,4.5,91.0,48.0,1520589201
452,batemans bay,AU,-35.71,150.18,64.66,4.72,95.0,0.0,1520588967
453,severo-kurilsk,RU,50.68,156.12,32.39,25.08,92.0,92.0,1520589058
455,verkhnevilyuysk,RU,63.45,120.31,-6.63,5.73,59.0,12.0,1520589059
457,bilma,NE,18.69,12.92,91.48,4.72,20.0,0.0,1520589216
462,turukhansk,RU,65.8,87.96,1.79,7.4,69.0,8.0,1520589059
464,de aar,ZA,-30.65,24.01,68.0,11.41,28.0,0.0,1520585400
465,aksaray,TR,38.37,34.03,46.4,6.93,81.0,75.0,1520587200
466,byron bay,AU,-28.65,153.62,73.4,14.99,64.0,75.0,1520586000
467,ilulissat,GL,69.22,-51.1,-9.41,9.17,76.0,20.0,1520585400
469,mar del plata,AR,-46.43,-67.52,52.06,22.5,61.0,68.0,1520589086
471,sao joao da barra,BR,-21.64,-41.05,77.0,13.87,100.0,75.0,1520586900
475,lorengau,PG,-2.02,147.27,83.11,9.08,100.0,92.0,1520589190
478,tayoltita,MX,24.11,-105.93,61.87,2.15,55.0,0.0,1520589147
483,mach,PK,29.87,67.33,64.48,2.82,46.0,0.0,1520589217
484,durango,US,37.28,-107.88,28.4,2.37,62.0,1.0,1520585580
485,havoysund,NO,71.0,24.66,14.0,11.41,66.0,0.0,1520587200
486,lerwick,GB,60.15,-1.15,41.0,12.75,93.0,40.0,1520587200
487,lavrentiya,RU,65.58,-170.99,8.36,31.9,100.0,76.0,1520589060
495,saint-augustin,CA,44.83,-0.61,59.0,10.29,66.0,0.0,1520587800
496,bambous virieux,MU,-20.34,57.76,84.2,11.41,66.0,75.0,1520586000
505,ulaanbaatar,MN,47.92,106.92,32.0,8.95,52.0,40.0,1520587800
506,komsomolskiy,RU,67.55,63.78,4.58,4.38,86.0,44.0,1520589060
507,southbridge,NZ,42.08,-72.03,30.2,5.82,63.0,90.0,1520585760
512,ordynskoye,RU,54.37,81.9,17.09,5.61,84.0,48.0,1520589060
519,san agustin,PH,10.2,-63.54,68.71,4.16,80.0,48.0,1520589135
525,verkhnyaya inta,RU,65.99,60.32,9.71,3.49,62.0,0.0,1520589061
528,jumla,NP,29.28,82.18,39.55,2.15,57.0,68.0,1520589218
531,grand gaube,MU,-20.01,57.66,84.2,11.41,66.0,75.0,1520586000
534,windsor,CA,42.3,-83.03,30.2,13.87,79.0,75.0,1520588280
535,hualmay,PE,-11.1,-77.61,65.06,2.37,88.0,20.0,1520589207
540,lebu,CL,8.96,38.73,71.6,5.82,30.0,64.0,1520586000
541,ballina,AU,54.11,-9.15,37.4,2.24,69.0,0.0,1520587800
542,elizabeth city,US,36.3,-76.22,37.4,9.17,77.0,1.0,1520588400
545,townsville,AU,-19.26,146.82,80.6,20.8,69.0,40.0,1520586000
551,bani,DO,15.89,120.27,80.36,3.6,86.0,44.0,1520589218
555,tiarei,PF,-17.53,-149.33,78.8,3.36,78.0,20.0,1520587800
557,ugoofaaru,MV,5.67,73.0,84.01,11.43,100.0,0.0,1520589110
559,pauini,BR,-7.71,-67.0,76.31,2.59,95.0,44.0,1520589024
560,kuantan,MY,3.82,103.33,87.8,9.17,70.0,75.0,1520586000
561,yerbogachen,RU,61.28,108.01,18.89,4.38,67.0,44.0,1520589061
562,hailar,CN,49.2,119.7,14.93,9.53,76.0,80.0,1520589179
564,bathsheba,BB,13.22,-59.52,77.0,17.22,88.0,40.0,1520586000
566,palmital,BR,-22.79,-50.22,68.98,10.65,86.0,0.0,1520589024
567,gryazovets,RU,58.88,40.25,17.54,5.95,83.0,0.0,1520589034
568,santa rosa,BO,-36.62,-64.29,66.2,6.93,68.0,40.0,1520589222
571,keuruu,FI,62.26,24.71,26.6,9.17,86.0,90.0,1520587200
573,darnah,LY,32.77,22.64,60.16,11.21,100.0,0.0,1520589130
574,sao filipe,CV,14.9,-24.5,70.78,13.56,96.0,0.0,1520589144
575,waingapu,ID,-9.65,120.26,80.59,6.96,84.0,76.0,1520589155
576,skibbereen,IE,51.55,-9.27,41.0,11.41,93.0,75.0,1520587800
577,sioni,GE,41.99,45.02,50.0,16.11,93.0,90.0,1520586000
579,shelburne,CA,44.08,-80.2,28.4,3.36,92.0,90.0,1520587680
580,mumbwa,ZM,-14.99,27.06,84.37,8.75,74.0,0.0,1520589203
586,timiryazevskiy,RU,47.05,39.61,38.69,6.62,100.0,32.0,1520589062
588,isangel,VU,-19.55,169.27,79.51,21.94,100.0,92.0,1520589224
591,altay,CN,47.83,88.13,32.08,1.92,79.0,12.0,1520589180
594,lubumbashi,CD,-11.66,27.48,79.28,8.19,92.0,20.0,1520589201
600,porto novo,CV,-23.68,-45.44,68.0,3.36,94.0,75.0,1520586000
602,kieta,PG,-6.22,155.63,82.57,4.16,89.0,64.0,1520589190
603,ixtapa,MX,20.71,-105.21,62.6,4.7,100.0,5.0,1520584920
604,muros,ES,42.77,-9.06,55.4,18.34,100.0,75.0,1520587800
605,iskateley,RU,67.68,53.15,8.41,11.32,89.0,80.0,1520589062
607,makakilo city,US,21.35,-158.09,69.8,10.29,63.0,1.0,1520585820
609,victoria,SC,5.28,115.24,86.0,11.41,83.0,75.0,1520586000
611,rumonge,BI,-3.97,29.44,72.94,5.17,100.0,68.0,1520589120
618,bolshaya martynovka,RU,47.27,41.67,35.36,5.84,100.0,32.0,1520589063
623,parrita,CR,9.52,-84.33,71.6,18.34,73.0,0.0,1520586000
626,saint-francois,GP,46.42,3.91,53.6,8.05,62.0,0.0,1520587800
628,westport,NZ,53.8,-9.52,37.4,2.24,69.0,0.0,1520587800
629,nizhniy kuranakh,RU,58.84,125.49,2.38,1.92,55.0,0.0,1520589063
633,merauke,ID,-8.49,140.4,83.06,10.54,89.0,32.0,1520589156
636,chokurdakh,RU,70.62,147.9,-34.12,2.93,0.0,0.0,1520589064
637,xuanzhou,CN,30.95,118.78,52.87,3.6,64.0,0.0,1520589180
639,jalu,LY,29.03,21.55,78.43,8.75,27.0,0.0,1520589130
640,atasu,KZ,48.68,71.64,35.77,8.41,95.0,12.0,1520589114
647,pontianak,ID,-0.02,109.34,81.22,8.41,99.0,44.0,1520589156
649,luderitz,NA,-26.65,15.16,78.8,4.7,41.0,0.0,1520586000
651,coahuayana,MX,18.62,-100.35,56.06,1.92,73.0,0.0,1520589148
653,denpasar,ID,-8.65,115.22,80.99,2.59,81.0,32.0,1520588973
654,ratanpur,IN,23.11,87.07,91.66,6.4,29.0,0.0,1520589076
658,salvador,BR,-12.98,-38.48,78.8,8.05,83.0,40.0,1520586000
659,krumbach,DE,48.24,10.36,51.8,13.87,49.0,0.0,1520587200
661,saint anthony,CA,43.97,-111.68,33.8,3.36,92.0,1.0,1520585760
664,hokitika,NZ,-42.72,170.96,61.19,15.35,89.0,0.0,1520589171
668,ostrovnoy,RU,68.05,39.51,2.74,3.38,84.0,56.0,1520589064
671,dingle,IE,11.0,122.67,83.06,10.54,64.0,68.0,1520589223
673,padang,ID,-0.92,100.36,80.99,2.04,100.0,32.0,1520589157
676,kijang,ID,35.24,129.21,44.6,9.17,65.0,75.0,1520586000
679,naze,JP,5.43,7.07,81.71,5.5,89.0,88.0,1520589142
681,merritt,CA,50.11,-120.79,41.0,18.34,80.0,90.0,1520587560
690,lasa,CN,34.92,32.53,68.0,16.11,68.0,20.0,1520587800
696,alekseyevskaya,RU,45.77,40.15,43.24,7.63,100.0,48.0,1520589064
698,vestmannaeyjar,IS,63.44,-20.27,32.0,4.7,100.0,0.0,1520586000
699,portland,AU,45.52,-122.67,48.2,9.17,87.0,90.0,1520585760
703,baturaja,ID,-4.12,104.17,86.71,8.41,71.0,48.0,1520589158
704,puerto leguizamo,CO,-0.19,-74.78,73.34,2.26,98.0,88.0,1520589229
708,pochutla,MX,15.74,-96.47,78.07,6.62,100.0,0.0,1520589149
712,san pedro de los naranjos,MX,20.25,-100.98,55.4,5.17,58.0,40.0,1520586780
713,katherine,AU,-14.47,132.26,93.2,6.93,46.0,0.0,1520586000
714,yelizovo,RU,53.19,158.38,23.0,2.24,92.0,90.0,1520584200
715,pavlogradka,RU,54.2,73.56,16.69,5.17,91.0,88.0,1520589065
717,bastrop,US,32.78,-91.91,46.4,6.93,52.0,1.0,1520588100
718,avera,PF,33.19,-82.53,35.6,5.28,74.0,1.0,1520588100
728,temiscaming,CA,46.72,-79.1,24.8,12.75,100.0,90.0,1520587200
729,souillac,MU,45.6,-0.6,55.4,14.99,71.0,0.0,1520587800
738,beringovskiy,RU,63.05,179.32,-0.42,23.85,100.0,24.0,1520589066
739,santiago del estero,AR,-27.8,-64.26,71.86,8.86,66.0,0.0,1520589058
742,sokoto,NG,13.06,5.24,93.55,6.73,24.0,0.0,1520589230
744,razole,IN,16.48,81.84,82.84,8.63,94.0,0.0,1520589076
746,constitucion,MX,23.99,-104.67,48.82,4.72,62.0,0.0,1520589150
753,caxias,BR,-4.87,-43.35,77.0,2.24,94.0,75.0,1520586000
756,qasigiannguit,GL,68.82,-51.19,-9.41,9.17,76.0,20.0,1520585400
758,sri aman,MY,1.24,111.46,86.0,10.29,79.0,40.0,1520586000
763,fort nelson,CA,58.81,-122.69,5.0,4.7,84.0,5.0,1520586000
765,sabang,ID,13.72,123.58,77.08,8.97,100.0,92.0,1520589158
766,hirara,JP,24.8,125.28,60.8,11.41,67.0,75.0,1520586000
771,snezhnogorsk,RU,69.19,33.23,14.0,6.71,72.0,75.0,1520586000
772,chazuta,PE,-6.57,-76.13,71.63,2.37,100.0,80.0,1520589208
778,caceres,BR,5.53,-74.53,63.89,1.25,96.0,12.0,1520589025
